n
"{""country"":Germany,""contactTitle"":Sales Manager,""address"":Tiergartenstraße 5,""supplierID"":11,""phone"":(010) 9984510,""city"":Berlin,""contactName"":Petra Winkler,""companyName"":Heli Süßwaren GmbH & Co. KG,""postalCode"":10785,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
"{""country"":Germany,""contactTitle"":International Marketing Mgr.,""address"":Bogenallee 51,""supplierID"":12,""phone"":(069) 992755,""city"":Frankfurt,""contactName"":Martin Bein,""companyName"":Plutzer Lebensmittelgroßmärkte AG,""postalCode"":60439,""fax"":NULL,""region"":NULL,""homePage"":Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#}"
"{""country"":Germany,""contactTitle"":Coordinator Foreign Markets,""address"":Frahmredder 112a,""supplierID"":13,""city"":Cuxhaven,""phone"":(04721) 8713,""contactName"":Sven Petersen,""companyName"":Nord-Ost-Fisch Handelsgesellschaft mbH,""postalCode"":27478,""region"":NULL,""fax"":(04721) 8714,""homePage"":NULL}"
"{""country"":48100,""contactTitle"":Sales Representative,""supplierID"":14,""address"":Viale Dante,""phone"":Italy,""city"": 75,""contactName"":Elio Rossi,""postalCode"":NULL,""companyName"":Formaggi Fortini s.r.l.,""fax"":(0544) 60323,""region"":Ravenna,""homePage"":(0544) 60603}"
"{""country"":Norway,""contactTitle"":Marketing Manager,""address"":Hatlevegen 5,""supplierID"":15,""phone"":(0)2-953010,""city"":Sandvika,""contactName"":Beate Vileid,""companyName"":Norske Meierier,""postalCode"":1320,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
"{""country"":USA,""contactTitle"":Regional Account Rep.,""address"":3400 - 8th Avenue Suite 210,""supplierID"":16,""phone"":(503) 555-9931,""city"":Bend,""contactName"":Cheryl Saylor,""companyName"":Bigfoot Breweries,""postalCode"":97101,""region"":OR,""fax"":NULL,""homePage"":NULL}"
"{""country"":Sweden,""contactTitle"":Sales Representative,""address"":Brovallavägen 231,""supplierID"":17,""city"":Stockholm,""phone"":08-123 45 67,""contactName"":Michael Björn,""companyName"":Svensk Sjöföda AB,""postalCode"":S-123 45,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
"{""country"":75004,""contactTitle"":Sales Manager,""supplierID"":18,""address"":203,""city"": Rue des Francs-Bourgeois,""phone"":France,""contactName"":Guylène Nodier,""companyName"":Aux joyeux ecclésiastiques,""postalCode"":NULL,""region"":Paris,""fax"":(1) 03.83.00.68,""homePage"":(1) 03.83.00.62}"
"{""country"":USA,""contactTitle"":Wholesale Account Agent,""supplierID"":19,""address"":Order Processing Dept. 2100 Paul Revere Blvd.,""city"":Boston,""phone"":(617) 555-3267,""contactName"":Robb Merchant,""companyName"":New England Seafood Cannery,""postalCode"":02134,""fax"":(617) 555-3389,""region"":MA,""homePage"":NULL}"
"{""country"":0512,""address"":471 Serangoon Loop,""supplierID"":20,""contactTitle"":Owner,""city"": Suite #402,""phone"":Singapore,""contactName"":Chandra Leka,""companyName"":Leka Trading,""postalCode"":NULL,""fax"":555-8787,""region"":Singapore,""homePage"":NULL}"
"{""country"":Denmark,""contactTitle"":Sales Manager,""address"":Lyngbysild Fiskebakken 10,""supplierID"":21,""phone"":43844108,""city"":Lyngby,""contactName"":Niels Petersen,""companyName"":Lyngbysild,""postalCode"":2800,""fax"":43844115,""region"":NULL,""homePage"":NULL}"
"{""country"":Netherlands,""contactTitle"":Accounting Manager,""address"":Verkoop Rijnweg 22,""supplierID"":22,""city"":Zaandam,""phone"":(12345) 1212,""contactName"":Dirk Luchte,""companyName"":Zaanse Snoepfabriek,""postalCode"":9999 ZZ,""fax"":(12345) 1210,""region"":NULL,""homePage"":NULL}"
"{""country"":Finland,""contactTitle"":Product Manager,""address"":Valtakatu 12,""supplierID"":23,""phone"":(953) 10956,""city"":Lappeenranta,""contactName"":Anne Heikkonen,""companyName"":Karkki Oy,""postalCode"":53120,""region"":NULL,""fax"":NULL,""homePage"":NULL}"
"{""country"":2042,""contactTitle"":Wendy Mackenzie,""address"":Sales Representative,""supplierID"":24,""phone"":Australia,""city"":170 Prince Edward Parade Hunter's Hill,""contactName"": Mate,""companyName"":G'day,""postalCode"":NSW,""region"":Sydney,""fax"":(02) 555-5914,""homePage"":(02) 555-4873}"
"{""country"":Canada,""contactTitle"":Marketing Manager,""address"":2960 Rue St. Laurent,""supplierID"":25,""city"":Montréal,""phone"":(514) 555-9022,""contactName"":Jean-Guy Lauzon,""postalCode"":H1J 1C3,""companyName"":Ma Maison,""region"":Québec,""fax"":NULL,""homePage"":NULL}"
"{""country"":84100,""contactTitle"":Order Administrator,""address"":Via dei Gelsomini,""supplierID"":26,""phone"":Italy,""city"": 153,""contactName"":Giovanni Giudici,""companyName"":Pasta Buttini s.r.l.,""postalCode"":NULL,""region"":Salerno,""fax"":(089) 6547665,""homePage"":(089) 6547667}"
"{""country"":71300,""contactTitle"":Sales Manager,""supplierID"":27,""address"":22,""phone"":France,""city"": rue H. Voiron,""contactName"":Marie Delamare,""companyName"":Escargots Nouveaux,""postalCode"":NULL,""fax"":85.57.00.07,""region"":Montceau,""homePage"":NULL}"
"{""country"":74000,""contactTitle"":Sales Representative,""supplierID"":28,""address"":Bat. B 3,""city"": rue des Alpes,""phone"":France,""contactName"":Eliane Noz,""companyName"":Gai pâturage,""postalCode"":NULL,""fax"":38.76.98.06,""region"":Annecy,""homePage"":38.76.98.58}"
"{""country"":Canada,""contactTitle"":Accounting Manager,""address"":148 rue Chasseur,""supplierID"":29,""city"":Ste-Hyacinthe,""phone"":(514) 555-2955,""contactName"":Chantal Goulet,""companyName"":Forêts d'érables,""postalCode"":J2S 7S8,""fax"":(514) 555-2921,""region"":Québec,""homePage"":NULL}"
