n
"{""born"":1964,""name"":Keanu Reeves}"
"{""born"":1940,""name"":James Cromwell}"
"{""born"":1953,""name"":Scott Hicks}"
"{""born"":1968,""name"":Parker Posey}"
"{""born"":1973,""name"":Dave Chappelle}"
"{""born"":1967,""name"":Steve Zahn}"
"{""born"":1956,""name"":Tom Hanks}"
"{""born"":1941,""name"":Nora Ephron}"
"{""born"":1956,""name"":Rita Wilson}"
"{""born"":1953,""name"":Bill Pullman}"
"{""born"":1949,""name"":Victor Garber}"
"{""born"":1962,""name"":Rosie O'Donnell}"
"{""born"":1950,""name"":John Patrick Stanley}"
"{""born"":1956,""name"":Nathan Lane}"
"{""born"":1948,""name"":Billy Crystal}"
"{""born"":1956,""name"":Carrie Fisher}"
"{""born"":1949,""name"":Bruno Kirby}"
"{""born"":1977,""name"":Liv Tyler}"
"{""born"":1970,""name"":Brooke Langton}"
"{""born"":1930,""name"":Gene Hackman}"
"{""born"":1968,""name"":Orlando Jones}"
"{""born"":1950,""name"":Howard Deutch}"
"{""born"":1974,""name"":Christian Bale}"
"{""born"":1954,""name"":Zach Grenier}"
"{""born"":1931,""name"":Mike Nichols}"
"{""born"":1930,""name"":Richard Harris}"
"{""born"":1930,""name"":Clint Eastwood}"
"{""born"":1947,""name"":Takeshi Kitano}"
"{""born"":1968,""name"":Dina Meyer}"
"{""born"":1958,""name"":Ice-T}"
"{""born"":1953,""name"":Robert Longo}"
"{""born"":1966,""name"":Halle Berry}"
"{""born"":1949,""name"":Jim Broadbent}"
"{""born"":1965,""name"":Tom Tykwer}"
"{""born"":1969,""name"":David Mitchell}"
"{""born"":1961,""name"":Stefan Arndt}"
"{""born"":1939,""name"":Ian McKellen}"
"{""born"":1976,""name"":Audrey Tautou}"
"{""born"":1971,""name"":Paul Bettany}"
"{""born"":1954,""name"":Ron Howard}"
"{""born"":1981,""name"":Natalie Portman}"
"{""born"":1946,""name"":Stephen Rea}"
"{""born"":1940,""name"":John Hurt}"
"{""born"":1967,""name"":Ben Miles}"
"{""born"":1985,""name"":Emile Hirsch}"
"{""born"":1960,""name"":John Goodman}"
"{""born"":1946,""name"":Susan Sarandon}"
"{""born"":1966,""name"":Matthew Fox}"
"{""born"":1980,""name"":Christina Ricci}"
"{""born"":1982,""name"":Rain}"
"{""name"":Naomie Harris}"
"{""born"":1957,""name"":Michael Clarke Duncan}"
"{""born"":1953,""name"":David Morse}"
"{""born"":1968,""name"":Sam Rockwell}"
"{""born"":1955,""name"":Gary Sinise}"
"{""born"":1959,""name"":Patricia Clarkson}"
"{""born"":1959,""name"":Frank Darabont}"
"{""born"":1938,""name"":Frank Langella}"
"{""born"":1969,""name"":Michael Sheen}"
"{""born"":1960,""name"":Oliver Platt}"
"{""born"":1944,""name"":Danny DeVito}"
"{""born"":1965,""name"":John C. Reilly}"
"{""born"":1950,""name"":Ed Harris}"
"{""born"":1955,""name"":Bill Paxton}"
"{""born"":1967,""name"":Philip Seymour Hoffman}"
"{""born"":1943,""name"":Jan de Bont}"
"{""born"":1951,""name"":Robert Zemeckis}"
"{""born"":1932,""name"":Milos Forman}"
"{""born"":1946,""name"":Diane Keaton}"
"{""born"":1949,""name"":Nancy Meyers}"
"{""born"":1958,""name"":Chris Columbus}"
"{""born"":1967,""name"":Julia Roberts}"
"{""born"":1954,""name"":Madonna}"
"{""born"":1956,""name"":Geena Davis}"
"{""born"":1963,""name"":Lori Petty}"
"{""born"":1943,""name"":Penny Marshall}"
"{""name"":Paul Blythe}"
"{""name"":Angela Scope}"
"{""name"":Jessica Thompson}"
"{""name"":James Thompson}"
